Sep07,070521,503.00,507.00,499.00,506.50,+6.75,697,"13,069",+57
Sep07,070516,519.00,521.50,517.00,519.00,-3.00,600,"12,910",+9
Sep07,070517,515.00,515.50,510.00,511.50,-7.50,373,"12,947",+37
Sep07,070518,513.00,513.00,499.50,499.75,-11.75,326,"13,012",+65
Sep07,070529,520.00,521.00,514.00,514.00,-10.25,943,"12,862",+62
Sep08,080502,880.00,894.00,880.00,894.00,+17.00,"1,030","17,147",+48
Sep08,080522,886.00,886.00,851.00,852.00,-30.00,789,"18,409",-13
Sep08,080520,884.00,892.00,881.00,882.50,+8.50,"1,428","18,579",+502
Sep08,080507,903.00,904.00,887.75,894.00,-4.00,568,"17,052",+0
Sep08,080515,865.00,872.00,855.00,872.00,+9.00,"2,599","18,023",+432
Sep08,080509,916.00,919.00,880.00,895.75,-14.25,892,"17,006",+6
Sep08,080508,895.00,918.75,890.00,910.00,+16.00,898,"17,000",-52
Sep08,080523,855.00,858.00,845.00,857.00,+5.00,"1,146","18,535",+126
Sep08,080513,888.00,890.00,878.00,886.00,-5.75,"1,390","17,359",+214
Sep08,080514,880.00,880.00,863.00,863.00,-23.00,"1,474","17,591",+232
Sep08,080523,855.00,858.00,845.00,857.00,+5.00,"1,146","18,535",+126
Sep08,080501,881.00,888.00,863.50,877.00,-3.00,"1,270","17,099",+257
Sep08,080529,859.00,864.00,843.00,854.50,-10.50,"1,127","18,330",-178
Sep08,080519,861.00,884.00,861.00,874.00,+10.00,"2,016","18,077",-189
Sep08,080527,858.00,869.00,854.00,863.00,+6.00,846,"18,520",-15
Sep08,080516,869.00,880.00,861.00,864.00,-8.00,"2,088","18,266",+243
Sep08,080530,851.50,873.00,850.00,873.00,+18.50,"1,980","18,503",+173
Sep08,080521,890.00,890.00,875.00,882.00,-0.50,781,"18,422",-157
Sep08,080505,887.00,890.00,884.00,884.00,-10.00,733,"17,004",-143
Sep08,080512,894.75,896.75,878.50,891.75,-4.00,"1,490","17,145",+139
Sep08,080506,886.50,906.00,885.00,898.00,+14.00,568,"17,052",+48
Sep08,080528,850.00,866.00,849.00,865.00,+2.00,940,"18,508",-12
Sep09,090522,721.00,744.00,721.00,741.00,+18.00,818,"9,272",+55
Sep09,090508,677.00,697.00,677.00,696.25,+16.50,465,"7,656",-2
Sep09,090518,698.50,719.75,692.25,714.25,+12.75,"1,289","8,801",+127
Sep09,090522,721.00,744.00,721.00,741.00,+18.00,818,"9,272",+55
Sep09,090506,664.25,674.00,663.75,668.25,+1.50,981,"7,679",+350
Sep09,090527,747.00,777.75,747.00,775.25,+24.50,732,"9,519",+238
Sep09,090528,770.00,793.00,764.50,768.50,-6.75,"1,045","9,796",+277
Sep09,090507,668.00,687.25,667.50,679.75,+11.50,407,"7,658",-21
Sep09,090504,668.00,675.00,652.50,659.00,-17.75,675,"7,122",-27
Sep09,090529,763.00,780.00,743.00,775.50,+7.00,"1,600","10,412",+616
Sep09,090505,660.75,670.25,658.00,666.75,+7.75,801,"7,329",+207
Sep09,090513,700.00,710.50,699.50,708.25,+8.00,838,"7,819",-12
Sep09,090515,717.00,721.00,700.25,701.50,-18.25,"1,180","8,674",+119
Sep09,090520,709.00,724.00,709.00,722.00,+10.00,,,
Sep09,090512,694.75,703.50,692.25,700.25,+5.50,746,"7,831",+94
Sep09,090514,706.50,723.25,701.25,719.75,+11.50,"1,395","8,555",+736
Sep09,090519,710.00,717.00,709.50,712.00,-2.25,"1,067","9,211",+410
Sep09,090511,686.50,695.00,685.75,694.75,-1.50,979,"7,737",+81
Sep09,090501,650.00,678.00,650.00,676.75,+27.50,888,"7,149",-172
Sep09,090526,740.00,754.00,736.75,750.75,+9.75,770,"9,281",+9
Sep09,090521,719.50,727.25,713.00,723.00,+1.00,"1,008","9,217","+9,217"
Sep10,100507,545.00,557.00,541.75,552.50,+4.25,378,"7,938",+79
Sep10,100504,546.00,555.25,540.25,554.25,+7.75,492,"7,487",+130
Sep10,100521,523.25,527.50,522.00,525.75,-0.75,486,"9,042",+116
Sep10,100524,525.75,528.25,521.50,523.00,-2.75,324,"9,052",+10
Sep10,100517,522.50,525.75,520.00,524.00,unch,458,"8,893",+148
Sep10,100527,520.00,531.00,520.00,525.75,+5.25,781,"9,569",+19
Sep10,100512,544.50,555.25,540.00,541.00,-4.00,258,"8,244",+11
Sep10,100505,552.75,556.00,547.50,555.00,+0.75,805,"7,697",+210
Sep10,100528,527.00,529.50,517.25,518.75,-7.00,386,"9,655",+86
Sep10,100513,541.00,541.25,528.25,528.75,-12.25,677,"8,664",+420
Sep10,100510,551.75,553.50,537.75,539.50,-13.00,507,"8,193",+255
Sep10,100506,553.50,554.50,542.50,548.25,-6.75,455,"7,859",+162
Sep10,100526,520.00,525.50,517.50,520.50,+5.00,338,"9,550",+2
Sep10,100519,523.00,526.75,520.75,522.75,-0.25,190,"8,823",-68
Sep10,100525,519.00,521.25,514.00,515.50,-7.50,744,"9,548",+496
Sep10,100528,527.00,529.50,517.25,518.75,-7.00,513,"9,879",+224
Sep10,100514,529.50,529.50,522.75,524.00,-4.75,364,"8,745",+81
Sep10,100520,525.50,527.50,518.50,526.50,+3.75,325,"8,926",+103
Sep10,100503,548.50,552.00,539.25,546.50,-2.75,492,"7,487",+130
Sep10,100511,539.75,547.50,535.75,545.00,+5.50,255,"8,233",+40
Sep10,100518,525.00,528.00,522.75,523.00,-1.00,413,"8,891",-2
Sep11,110505,917.50,920.50,893.75,898.50,-19.50,"1,544","16,924",+496
Sep11,110527,1022.50,1040.75,1009.50,1018.75,-3.25,"2,341","16,711",+605
Sep11,110531,1011.00,1014.75,980.00,987.75,-31.00,"3,241","17,540",+829
Sep11,110523,986.00,1000.00,970.25,987.50,+6.75,"2,578","15,907",-18
Sep11,110526,1005.00,1055.25,1004.00,1022.00,+17.25,"1,172","16,106",+15
Sep11,110527,1022.50,1040.75,1009.50,1018.75,-3.25,"2,341","16,711",+605
Sep11,110513,913.50,920.25,898.50,903.50,-3.50,"1,541","16,867",+241
